pid,tid,winnings
1,1,38810
2,1,7560
3,1,25060
4,1,29838
5,1,5000
8,2,112300
9,2,112300
10,2,109900
11,2,112300
12,2,92300
13,3,82993
14,3,96306
15,3,104834
16,3,96066
17,3,96306
20,4,83684
21,4,81776
22,4,83684
23,4,29803
24,4,36618
25,4,43552
29,5,70553
30,5,80162
31,5,23850
32,5,43002
33,5,81080
37,6,12149
38,6,106514
39,6,109653
40,6,6106
44,7,49896
45,7,16580
47,8,148200
48,8,147800
49,9,18825
50,9,15150
51,9,39030
52,9,13645
53,9,51950
56,10,18850
57,10,21440
58,10,20250
59,10,19960
61,11,96282
62,11,113919
63,11,94138
64,12,15520
65,12,6492
66,12,6653
67,12,14921
70,13,8602
71,13,18985
72,13,18985
73,13,16775
74,13,15002
75,13,3979
77,14,3702
78,14,2210
79,14,1633
80,14,2770
81,14,1590
82,14,1420
85,15,66311
86,15,66311
87,15,66311
88,15,0
89,15,59058
90,15,65661
93,16,17234
94,16,8675
95,16,17053
96,16,7319
97,16,8675
101,17,5402
102,17,3572
103,17,4599
104,17,39638
105,17,10007
106,17,5283
112,18,11663
113,18,0
114,18,4099
115,18,12298
116,18,12833
117,18,14722
120,19,21649
121,19,21649
122,19,17162
123,19,21649
124,19,5214
125,19,21649
127,20,92001
128,20,78253
129,20,50072
130,20,92001
131,20,69840
132,20,875
136,21,13989
137,21,46902
138,21,7497
139,21,7585
140,21,8586
141,21,9281
144,22,15794
145,22,19750
146,22,8580
147,22,29838
148,22,0
149,22,40600
152,23,38977
153,23,14529
154,23,13109
155,23,26849
156,23,3737