pid,name,kd,avgscore
1,Killjoy,1.17,211.3
1,Sage,1.05,192.6
1,Cypher,1.13,199.9
2,Jett,1.28,242.3
2,Kay/O,0.97,219.2
2,Raze,1.07,231.5
3,Jett,1.29,266.9
3,Raze,1.07,257
3,Omen,1.27,238.9
4,Jett,1.36,258.7
4,Chamber,1.36,250.1
4,Breach,1.17,206.6
5,Omen,0.75,161.4
5,Astra,0.81,154.7
5,Viper,1.43,221.3
8,Jett,1.23,235.4
8,Sova,1.15,199.6
8,Breach,1.14,207.5
9,Sage,1.28,226.6
9,Phoenix,1.25,246.9
9,Skye,1.19,210.5
10,Omen,0.93,173.6
10,Astra,0.96,173
10,Brimstone,0.85,185.5
11,Cypher,1.1,124.5
11,Viper,1.09,131.7
11,Killjoy,1.08,135.4
12,Jett,1.33,267.9
12,Reyna,1.45,281.6
12,Raze,1.17,277.4
13,Cypher,1.27,211.1
13,Killjoy,1.24,221.9
13,Viper,1.21,223.6
14,Omen,0.92,198.7
14,Brimstone,1,226.1
14,Viper,0.97,200.2
15,Sova,1.18,230.2
15,Chamber,1.24,241.7
15,Jett,1.23,246.7
16,Raze,1.26,263.4
16,KAY/O,0.97,198.8
16,Sage,1.14,211.7
17,Sova,1.34,228
17,Sage,1.4,223.4
17,Fade,1.2,205.5
20,Breach,0.98,182.8
20,Sova,0.95,194.7
20,Astra,1.03,196.7
21,Jett,1.26,270.4
21,Raze,1.23,271.4
21,Chamber,1.46,260.3
22,Viper,1.15,194.2
22,Omen,1.12,197.8
22,Astra,1.13,190.9
23,Sage,1.47,242.7
23,Sova,1.36,236.3
23,Omen,1.1,211.4
24,Killjoy,1.35,238.6
24,Raze,1.23,272.1
24,Chamber,1.39,259.2
25,Sova,1.12,207.3
25,Raze,1.05,232.4
25,Fade,0.98,166.7
29,Jett,1.2,222.2
29,Chamber,1.22,240.5
29,Omen,1.09,209.4
30,Raze,1.14,235.7
30,Skye,1.09,194.7
30,Sova,1.03,188.2
31,Cypher,1.13,213.5
31,Reyna,1.33,268.1
31,Sova,1.02,199.9
32,Viper,1.04,185.4
32,Chamber,1.42,226.4
32,Killjoy,1.19,196.1
33,Jett,1.34,267.5
33,Reyna,1.46,282.7
33,Sage,1.35,250.8
37,Jett,1.29,256.1
37,Raze,1.26,257.2
37,Breach,1.21,207.7
38,Skye,1.16,205.4
38,Sage,1.15,200.7
38,Omen,1.09,200.5
39,Jett,1.44,273.1
39,Sage,1.41,231.8
39,Chamber,1.11,230.1
40,Cypher,1.19,220.1
40,Killjoy,1.29,237.8
40,Viper,1.26,239.8
44,Sova,1.04,198.6
44,Sage,0.93,179
44,Astra,0.9,166.3
45,Raze,1.11,258.7
45,Jett,1.08,235.9
45,Killjoy,0.92,184.2
47,Cypher,0.96,198.2
47,Killjoy,0.94,183.7
47,Viper,0.93,182.8
48,Omen,1.06,212.5
48,Astra,1.08,204.5
48,Brimstone,1.09,214.8
49,Omen,1.03,189.7
49,Sage,1.04,193.2
49,Killjoy,1.24,216.9
50,Omen,1.09,204.5
50,Skye,1.13,207.5
50,Raze,1.43,275.3
51,Sova,1.23,222.2
51,Jett,1.43,267
51,Chamber,1.35,242
52,Sova,1.18,211.5
52,Sage,1.22,217.6
52,Breach,1.05,192.3
53,Raze,1.11,266.9
53,Reyna,1.14,245.6
53,Phoenix,1.06,243.6
56,Sova,1.28,234.7
56,Skye,1.06,213.6
56,Viper,1.26,224.6
57,Astra,1.13,215.6
57,Omen,1.07,1.07
57,Viper,1.23,1.23
58,Sova,1.19,236.3
58,Skye,1.21,224
58,KAY/O,1.1,205.2
59,Cypher,1.02,209.9
59,Killjoy,1.12,211.9
59,Viper,0.98,189.3
61,Jett,1.51,262.1
61,Reyna,1.37,264.7
61,Raze,1.24,252.9
62,Killjoy,1.23,217.7
62,Viper,1.26,217.3
62,Cypher,1.34,224.3
63,Cipher,1.33,230.1
63,KAY/O,1.08,211.8
63,Killjoy,1.24,228.1
64,Omen,1.07,185.2
64,Viper,1.01,184.4
64,Phoenix,1.05,181.9
65,Sova,1.19,229.1
65,KAY/O,0.82,195.9
65,Skye,1.18,225.8
66,Jett,1.06,234.2
66,Cypher,1.08,209.5
66,Sova,1.09,223.1
67,Reyna,1.23,245.8
67,Jett,1.2,254
67,Sage,1.04,206
70,Jett,1.19,243.9
70,Chamber,1.09,220.4
70,Reyna,1.11,230.1
71,Jett,1.11,237.3
71,Reyna,1.27,252.1
71,Chamber,1.19,229
72,Omen,1.06,188.7
72,Cypher,1.04,193.3
72,Killjoy,1.19,204.6
73,Raze,1.41,294.8
73,Jett,1.4,281.8
73,Sova,1.17,223.3
74,Raze,1.12,229
74,Omen,1.03,294
74,Phoenix,1.02,188.5
75,KAY/O,0.92,193
75,Sage,0.72,152.5
75,Sova,0.89,160.4
77,Omen,1,204.6
77,Brimstone,1.09,216.3
77,Sova,1.05,198.7
78,Sova,1.01,200.4
78,Omen,1.02,193
78,Breach,0.83,160.7
79,Jett,1.16,264.3
79,Sova,0.96,211.6
79,Neon,1.01,232.4
80,Killjoy,0.94,185
80,Cypher,1.04,187.2
80,Fade,1.05,190.8
81,Jett,1.15,239.1
81,Raze,1.12,241.1
81,Sage,0.95,188.3
82,Jett,1.15,216.3
82,Chamber,1.28,231.3
82,Raze,1.13,268.8
85,Killjoy,1.17,198.2
85,Cypher,1.08,188.7
85,Sova,1.16,191.5
86,Astra,1.15,188.5
86,Omen,1.01,179.4
86,Viper,1.18,196.8
87,Jett,1.37,281.8
87,Raze,1.21,263.3
87,Chamber,1.32,251.1
88,Chamber,1.19,206.6
88,Jett,1.18,267.8
88,Fade,0.85,145.3
89,Raze,1.27,271.6
89,Reyna,1.44,287.3
89,Sage,1.27,249.6
90,Jett,1.28,255
90,Skye,1.16,205.8
90,Sage,1.3,226.4
93,Sova,1.16,213.8
93,Omen,1.19,203.3
93,Brimstone,1.07,203.4
94,Killjoy,1,192
94,KAY/O,1.01,210.7
94,Skye,0.88,160.1
95,Jett,1.27,247.1
95,Raze,1.33,267.9
95,Neon,0.94,195.4
96,Raze,1.3,276.4
96,Sova,1.29,249.1
96,Jett,1.4,283.8
97,Sova,1.08,203.2
97,Breach,1.01,171.6
97,Chamber,1.37,225.5
101,Sova,1.26,235.7
101,Fade,1.17,223
101,Sage,1.07,216.1
102,Sova,0.91,187.2
102,Astra,0.98,172.5
102,Sage,1,182.9
103,Cypher,1.37,234.4
103,Sage,1.35,223.7
103,Killjoy,1.16,207.3
104,Astra,1.25,220.8
104,Omen,1.14,215.7
104,Viper,1.23,218.9
105,Jett,1.11,235.2
105,Reyna,1.12,232.4
105,Sage,1.31,221.6
106,Jett,1.3,258.8
106,KAY/O,1.22,207
106,Raze,1.27,262.2
112,Jett,1.37,275.4
112,Chamber,1.5,267.7
112,Reyna,1.19,268.4
114,Sova,1.2,231.9
114,Fade,1.14,242
114,Sage,1.07,209.6
115,Raze,1.14,246.2
115,Jett,1.28,251.8
115,Reyna,1.21,244.2
116,Viper,1.01,197.7
116,Cypher,1.08,200
116,Killjoy,1.24,222.6
117,Astra,1.09,194.3
117,Jett,1.34,233.7
117,Killjoy,1.15,216.6
120,Astra,1.05,189.3
120,Omen,1.12,213.3
120,Viper,1.06,211.7
121,Jett,1.19,234.5
121,Raze,1.25,258
121,Reyna,1.34,239.9
122,Skye,1.02,195.9
122,Jett,1.12,229.8
122,Reyna,1.23,260.5
123,Sova,1.03,197
123,Sage,0.98,180.5
123,Cypher,0.9,155.4
124,Raze,1.19,249.9
124,Chamber,1.33,232.3
124,Jett,1.18,263.9
125,Killjoy,1.12,210.7
125,Cypher,1.16,209.1
125,Sage,0.99,191
127,Breach,1.32,211.4
127,Skye,1.24,203.9
127,KAY/O,1.04,186.2
128,Sova,1.12,195.7
128,Sage,1.16,219.5
128,Fade,1.06,193.7
129,Jett,1.54,275.3
129,Viper,1.33,228.5
129,Astra,1.33,216.8
130,Jett,1.3,235.3
130,Raze,1.4,270.5
130,Sova,1.21,196.9
131,Jett,1.24,248.3
131,Chamber,1.45,244.3
131,Omen,1.14,213.8
132,Jett,1.26,269.8
132,Raze,1.06,235.1
132,Skye,0.5,125
136,Sova,1.24,204.1
136,Jett,1.15,235
136,Astra,1.24,200.8
137,Cypher,1.3,216.8
137,Killjoy,1.31,218.2
137,Viper,1.19,210.3
138,Sova,1.17,211.3
138,Omen,1.01,212.2
138,Fade,1.01,192
139,Jett,1.22,258.7
139,Chamber,1.53,269.3
139,Raze,1.09,257.8
140,Omen,1.15,226.6
140,Viper,1.08,199.1
140,Phoenix,1.32,257.7
141,Skye,0.97,187.1
141,Raze,1.02,225.9
141,Breach,0.97,186.1
144,Cypher,1.24,229.6
144,Jett,1.22,256
144,Raze,1.06,249.3
145,Jett,1.33,239.7
145,Omen,1.13,209.4
145,Raze,1.06,220.7
146,Jett,1.2,244.7
146,Skye,1.06,202.6
146,Reyna,1.19,250.6
147,Sova,1.2,207.9
147,Breach,1.01,173.6
147,Jett,1.22,220.6
149,Killjoy,1.01,208.2
149,Sova,1.02,212.4
149,Cypher,0.89,186
152,Sova,1.29,232.8
152,Raze,1.21,250.1
152,Skye,1.26,221.3
153,Omen,1.2,209.2
153,Jett,1.33,258.7
153,Breach,1.16,189.1
154,Sova,1.06,203.9
154,Breach,0.95,176.5
154,Sage,1.12,208.6
155,Jett,1.24,248
155,Raze,1.1,236.9
155,Sova,1.2,231.5
156,Jett,1.18,241.8
156,Sova,1.15,217.3
156,Raze,1.1,236