uid,ESPname,age,country,job
1,mitch,26,USA,Player
2,poiz,18,USA,Player
3,leaf,18,USA,Player
4,yay,24,USA,Player
5,floppy,22,USA,Player
6,mCe,31,South Korea,Coach
7,JamezIRL,33,USA,Coach
8,ShahZam,29,USA,Player
9,SicK,24,USA,Player
10,zombs,24,USA,Player
11,dapr,23,USA,Player
12,TenZ,21,Canada,Player
13,SUYGETSU,20,Russia,Player
14,ANGE1,33,Ukraine,Player
15,ardiis,24,Latvia,Player
16,Zyppan,20,Sweden,Player
17,Shao,22,Russia,Player
18,d00mbr0s,27,Sweden,Coach
19,neilzinho,31,United Kingdom,Analyst
20,Boaster,27,United Kingdom,Player
21,Derke,19,Finland,Player
22,Mistic,20,United Kingdom,Player
23,Leo,18,Sweden,Player
24,Alfajer,17,Turkey,Player
25,Enzo,26,Italy,Player
26,CoJo,28,United States,Manager
27,Mini,28,United Kingdom,Coach
28,marcus_askildsen,0,Denmark,Coach
29,Jamppi,21,Finland,Player
30,soulcas,22,United Kingdom,Player
31,dimasick,26,Kazakhstan,Player
32,Nivera,21,Belgium,Player
33,ScreaM,28,Belgium,Player
34,cauzed,0,United Kingdom,Manager
35,Bacon9,0,United Kingdom,Analyst
36,eMIL,27,Sweden,Coach
37,vakk,22,Lithuania,Player
38,starxo,21,Poland ,Player
39,cNed,20,Turkey,Player
40,MONSTEERR,18,Czech Republic,Player
41,Krimson,0,United Kingdom,Manager
42,Milan,24,Netherlands,Coach
43,Nbs,32,Lithuania,Coach
44,koldamenta,29,Spain,Player
45,Yacine,26,Sweden,Player
46,maeVe,32,Denmark,Manager
47,FNS,30,Canada,Player
48,Marved,22,Canada,Player
49,stellar,26,USA,Player
50,bang,18,USA,Player
51,Cryocells,19,USA,Player
52,Derrek,25,USA,Player
53,Asuna,19,USA,Player
54,ddk,34,United Kingdom,Manager
55,Mikes,23,USA,Coach
56,trent,17,USA,Player
57,valyn,19,USA,Player
58,JonahP,22,Canada,Player
59,neT,20,USA,Player
60,Seowulf,29,South Korea,Manager
61,aspas,19,Brazil,Player
62,Less,17,Brazil,Player
63,saadhak,25,Argentina,Player
64,v1xen,23,Brazil,Player
65,cauanzin,16,Brazil,Player
66,bezn1,25,Brazil,Player
67,Jonn,0,Brazil,Player
68,Geto,28,Brazil,Manager
69,JhoW,26,Brazil,Coach
70,dgzin,22,Brazil,Player
71,Quick,24,Brazil,Player
72,Khalil,18,Brazil ,Player
73,mwzera,21,Brazil,Player
74,Mazin,23,Brazil,Player
75,ableJ,23,Brazil,Player
76,Carlao,0,Brazil,Coach
77,Maverick,0,Brazil,Player
78,NANZIN,0,Brazil,Player
79,artzin,0,Brazil,Player
80,flainzz,0,Brazil,Player
81,glym,0,Brazil,Player
82,pollo,0,Brazil,Player
83,fx,0,Brazil,Coach
84,lgX,0,Brazil,Analyst
85,Benkai,25,Singapore,Player
86,mindfreak,23,Indonesia,Player
87,f0rsakeN,18,Indonesia,Player
88,cgrs,0,Thailand,Player
89,jinggg,19,Singapore,Player
90,d4v41,24,Malaysia,Player
91,JdFaker,0,Singapore,Manager
92,alecks,0,France,Coach
93,blaZek1ng,26,Indonesia,Player
94,severiNe,0,Indonesia,Player
95,BerserX,19,Indonesia,Player
96,Famouz,24,Indonesia,Player
97,Shiro,0,Indonesia,Player
98,5ynz,0,Indonesia,Manager
99,6fingers,0,Indonesia,Coach
100,Meow,33,South Korea,Coach
101,crazyguy,26,Vietnam,Player
102,JayH,0,Singapore,Player
103,Retla,0,Singapore,Player
104,sScary,23,Thailand,Player
105,Deryeon,0,Singapore,Player
106,Juicy,16,Singapore,Player
107,s3rius,0,Canada,Manager
108,GodspeedxD,29,India,Coach
109,M,0,Singapore,Staff
110,LEGIJA,32,Germany,Coach
111,Ominous,0,Singapore,Analyst
112,rawfiul,0,India,Player
113,karam1l,0,India,Player
114,tesseract,0,Philippines ,Player
115,Excali,25,India,Player
116,RvK,21,India,Player
117,Antidote,26,India,Player
118,RioMeisteR,0,India,Manager
119,yb,31,Germany,Coach
120,BORKUM,26,Philippines,Player
121,DubsteP,30,Philippines,Player
122,Witz,27,Philippines,Player
123,JessieVash,32,Philippines,Player
124,Jremy,0,Philippines,Player
125,dispenser,28,Philippines,Player
126,Fayde,25,Malaysia,Coach
127,stax,22,South Korea,Player
128,Zest,21,South Korea,Player
129,MaKo,20,South Korea,Player
130,Rb,20,South Korea,Player
131,BuZz,19,South Korea,Player
132,Foxy9,17,South Korea,Player
133,termi,36,South Korea,Coach
134,Argency,31,South Korea,Coach
135,glow,34,South Korea,Coach
136,TS,0,South Korea,Player
137,k1Ng,20,South Korea,Player
138,eKo,19,South Korea,Player
139,Meteor,22,South Korea,Player
140,iNTRO,20,South Korea,Player
141,Secret,18,South Korea,Player
142,Elmapuddy,0,Australia,Coach
143,bail,0,South Korea,Coach
144,Munchkin,24,South Korea,Player
145,Sayaplayer,24,South Korea,Player
146,ban,22,South Korea,Player
147,xeta,25,South Korea,Player
148,BeomJun,19,South Korea,Player
149,steel,32,Canada,Player
150,Autumn,0,South Korea,Coach
151,Stunner,0,Canada,Coach
152,Lakia,21,South Korea,Player
153,exy,24,South Korea,Player
154,Esperanza,21,South Korea,Player
155,allow,24,South Korea,Player
156,Bangnan,21,South Korea,Player
157,solo,34,South Korea ,Coach